Date,Sound,Flame,Humidity,Temperature
2022-05-20 12:15:00,0,1,30,34
2022-05-20 12:17:00,0,1,30,34
2022-05-20 12:19:00,0,1,30,34
2022-05-20 12:21:00,0,1,30,34
2022-05-20 12:23:00,0,1,30,34
2022-05-20 12:25:00,0,1,30,34
2022-05-20 12:27:00,0,1,30,34
2022-05-20 12:29:00,0,1,30,34
2022-05-20 12:31:00,0,1,30,34
2022-05-20 12:33:00,0,1,30,34
2022-05-20 12:35:00,0,1,30,34
2022-05-20 12:37:00,0,1,30,34
2022-05-20 12:39:00,0,1,30,34
2022-05-20 12:41:00,0,1,30,34
2022-05-20 12:44:00,0,1,30,34
2022-05-20 12:46:00,0,1,30,34
2022-05-20 12:48:00,0,1,30,34
2022-05-20 12:50:00,0,1,30,34
2022-05-20 12:52:00,0,1,30,34
2022-05-20 12:54:00,0,1,30,34
